symbol,listed_date,delisted_date,active,status
ADBE,1986-08-13,,True,active
AMD,1980-03-17,,True,active
ABNB,2020-12-10,,True,active
ALNY,2004-06-01,,True,active
GOOGL,2004-08-19,,True,active
GOOG,2004-08-19,,True,active
AMZN,1997-05-15,,True,active
AEP,1962-01-02,,True,active
AMGN,1983-06-17,,True,active
ADI,1980-03-17,,True,active
AAPL,1980-12-12,,True,active
AMAT,1980-03-17,,True,active
APP,2021-04-15,,True,active
ARM,2023-09-14,,True,active
ASML,1995-03-15,,True,active
ALAB,2024-03-20,,True,active
ADSK,1985-06-28,,True,active
ADP,1980-03-17,,True,active
AXON,2001-06-19,,True,active
BKR,1987-04-06,,True,active
BKNG,1999-03-31,,True,active
AVGO,2009-08-06,,True,active
CDNS,1987-06-10,,True,active
CTAS,1983-08-19,,True,active
CSCO,1990-02-16,,True,active
CCEP,1986-11-24,,True,active
CMCSA,1980-03-17,,True,active
CEG,2022-01-19,,True,active
CPRT,1994-03-17,,True,active
CRWV,2025-03-28,,True,active
COST,1986-07-09,,True,active
CRWD,2019-06-12,,True,active
CSX,1980-11-03,,True,active
DDOG,2019-09-19,,True,active
DXCM,2005-04-14,,True,active
FANG,2012-10-12,,True,active
DASH,2020-12-09,,True,active
EA,1989-09-20,,True,active
EXC,1973-05-02,,True,active
FAST,1987-08-20,,True,active
FER,2012-08-13,,True,active
FTNT,2009-11-18,,True,active
GEHC,2022-12-15,,True,active
GILD,1992-01-22,,True,active
HONA,2026-06-15,,True,active
HON,1962-01-02,,True,active
IDXX,1991-06-21,,True,active
INTC,1980-03-17,,True,active
INTU,1993-03-12,,True,active
ISRG,2000-06-16,,True,active
KDP,2008-05-07,,True,active
KLAC,1980-10-08,,True,active
KHC,2015-07-06,,True,active
LRCX,1984-05-04,,True,active
LIN,1992-06-17,,True,active
LITE,2015-07-23,,True,active
MAR,1998-03-23,,True,active
MRVL,2000-06-30,,True,active
MELI,2007-08-10,,True,active
META,2012-05-18,,True,active
MCHP,1993-03-19,,True,active
MU,1984-06-01,,True,active
MSFT,1986-03-13,,True,active
MSTR,1998-06-11,,True,active
MDLZ,2001-06-13,,True,active
MPWR,2004-11-19,,True,active
MNST,1985-12-09,,True,active
NBIS,2024-10-21,,True,active
NFLX,2002-05-23,,True,active
NVDA,1999-01-22,,True,active
NXPI,2010-08-06,,True,active
ORLY,1993-04-23,,True,active
ODFL,1991-10-24,,True,active
PCAR,1980-03-17,,True,active
PLTR,2020-09-30,,True,active
PANW,2012-07-20,,True,active
PAYX,1983-08-26,,True,active
PYPL,2015-07-06,,True,active
PDD,2018-07-26,,True,active
PEP,1972-06-01,,True,active
QCOM,1991-12-13,,True,active
REGN,1991-04-02,,True,active
RKLB,2020-11-24,,True,active
ROP,1992-02-13,,True,active
ROST,1985-08-08,,True,active
SNDK,2025-02-13,,True,active
STX,2002-12-11,,True,active
SHOP,2015-05-20,,True,active
SPCX,2026-06-12,,True,active
SBUX,1992-06-26,,True,active
SNPS,1992-02-26,,True,active
TMUS,2007-04-19,,True,active
TTWO,1997-04-15,,True,active
TER,1973-02-21,,True,active
TSLA,2010-06-29,,True,active
TXN,1972-06-01,,True,active
TRI,2002-06-12,,True,active
VRTX,1991-07-24,,True,active
WMT,1972-08-25,,True,active
WBD,2005-07-08,,True,active
WDC,1978-10-31,,True,active
WDAY,2012-10-12,,True,active
XEL,1973-02-21,,True,active
SPLK,2023-12-18,2024-03-18,False,removed
SIRI,2011-07-15,2024-06-24,False,removed
WBA,2015-03-23,2024-07-22,False,removed
DLTR,2010-12-20,2024-11-18,False,removed
ILMN,2013-12-23,2024-12-23,False,removed
MRNA,2020-07-20,2024-12-23,False,removed
SMCI,2024-07-22,2024-12-23,False,removed
MDB,2023-12-18,2025-05-19,False,removed
ANSS,2019-12-23,2025-07-17,False,removed
SOLS,2025-10-30,2025-11-06,False,removed
BIIB,,2025-12-22,False,removed
CDW,2023-12-18,2025-12-22,False,removed
GFS,2022-12-19,2025-12-22,False,removed
LULU,2018-12-24,2025-12-22,False,removed
ON,2023-06-20,2025-12-22,False,removed
TTD,2023-07-17,2025-12-22,False,removed
VSNT,2026-01-05,2026-01-09,False,removed
AZN,2022-02-22,2026-01-20,False,removed
TEAM,2020-12-21,2026-04-20,False,removed
CSGP,2022-12-19,2026-05-18,False,removed
CHTR,2013-07-25,2026-06-22,False,removed
CTSH,,2026-06-22,False,removed
INSM,2025-12-22,2026-06-22,False,removed
VRSK,2012-12-24,2026-06-22,False,removed
ZS,2021-12-20,2026-06-22,False,removed
